type: T
mtx: 1000x1000
dev_fp32,  dev_posit,  dev_refin, max_fp32, max_posit, max_refin
0.001060558557510376, 6.499981880187989e-5, 1.8643997609615326e-6, 0.0041179656982421875, 0.0002484172582626343, 7.256865501403809e-6
0.00022082412242889403, 6.807740777730942e-6, 5.532801151275635e-8, 0.0009450316429138184, 2.874433994293213e-5, 2.4586915969848633e-7
0.0001356877088546753, 6.891883909702301e-6, 5.340948700904846e-8, 0.0006318092346191406, 3.647059202194214e-5, 2.384185791015625e-7
0.00028696161508560183, 1.4545176178216933e-5, 9.977445006370545e-8, 0.0011355876922607422, 5.908310413360596e-5, 4.023313522338867e-7
5.4337918758392335e-5, 9.236626327037812e-6, 4.3608248233795164e-8, 0.00035762786865234375, 3.881007432937622e-5, 1.6391277313232422e-7
4.106509685516357e-5, 7.813584059476853e-6, 7.862597703933716e-8, 0.00019466876983642578, 3.307312726974487e-5, 3.3527612686157227e-7
0.00018879824876785278, 1.9084278494119644e-5, 1.0605528950691224e-7, 0.0008774995803833008, 7.741153240203857e-5, 4.3958425521850586e-7
0.00018208998441696168, 2.8800148516893386e-5, 3.947988152503967e-7, 0.0009065866470336914, 0.00012806057929992676, 1.7061829566955566e-6
0.00032941186428070066, 3.4163571894168854e-5, 8.022040128707885e-8, 0.0015268921852111816, 0.0001799464225769043, 3.948807716369629e-7
0.00044956642389297485, 4.111485555768013e-5, 9.287148714065552e-8, 0.0016499757766723633, 0.00016061216592788696, 3.688037395477295e-7
6.412279605865478e-5, 9.23335924744606e-6, 4.5392662286758425e-8, 0.00027358531951904297, 4.3973326683044434e-5, 1.9371509552001953e-7
