type: T
mtx: 1000x1000
dev_fp32,  dev_posit,  dev_refin, max_fp32, max_posit, max_refin
0.00027007329463958743, 7.425392791628837e-5, 3.41024249792099e-7, 0.0011507272720336914, 0.00033295154571533203, 1.55717134475708e-6
0.00037928372621536254, 1.677503064274788e-5, 2.4864450097084047e-7, 0.0016175508499145508, 6.890296936035156e-5, 1.080334186553955e-6
0.0008662346601486206, 0.0001610591933131218, 8.13852995634079e-7, 0.004094481468200684, 0.0007635802030563354, 3.7923455238342285e-6
9.23202633857727e-5, 3.900542110204697e-5, 3.08498740196228e-7, 0.00037932395935058594, 0.00014510750770568848, 1.1473894119262695e-6
0.001282234251499176, 8.890002593398095e-5, 7.271766662597656e-7, 0.005976319313049316, 0.0004066862165927887, 3.375113010406494e-6
0.000270544171333313, 1.612856611609459e-5, 2.584382891654968e-7, 0.0011969804763793945, 7.94827938079834e-5, 1.0505318641662598e-6
0.0004967344999313355, 3.4984815865755084e-5, 3.7389993667602537e-7, 0.0022013187408447266, 0.0001422390341758728, 1.601874828338623e-6
0.00011112242937088013, 1.1642158031463623e-5, 8.9254230260849e-8, 0.0005006790161132812, 5.245208740234375e-5, 3.8743019104003906e-7
0.00012688934803009033, 8.007943630218506e-6, 6.292015314102173e-8, 0.0005158185958862305, 3.901869058609009e-5, 2.3096799850463867e-7
0.0001768925189971924, 7.729843258857727e-6, 2.4238191545009613e-6, 0.0007740259170532227, 3.0510127544403076e-5, 9.2238187789917e-6
0.0003373645544052124, 5.779094994068146e-6, 5.541369318962097e-8, 0.001739203929901123, 2.3826956748962402e-5, 2.1606683731079102e-7
