type: T
mtx: 1000x1000
dev_fp32,  dev_posit,  dev_refin, max_fp32, max_posit, max_refin
0.00023915958404541014, 4.669775813817978e-5, 4.5919790863990784e-7, 0.0010176897048950195, 0.00019247084856033325, 1.8365681171417236e-6
0.00010548895597457885, 7.381845265626907e-6, 1.0268017649650573e-7, 0.00046122074127197266, 3.174692392349243e-5, 4.0605664253234863e-7
0.0008587053418159485, 0.00020591245591640472, 9.264498949050904e-7, 0.0033761262893676758, 0.0008431673049926758, 3.889203071594238e-6
6.606769561767578e-5, 9.699035435914993e-6, 8.124485611915589e-8, 0.0002924203872680664, 4.5612454414367676e-5, 3.5762786865234375e-7
8.521223068237305e-5, 6.523609161376953e-6, 3.845617175102234e-8, 0.0003114938735961914, 2.8975307941436768e-5, 1.4156103134155273e-7
4.525375366210937e-5, 5.785185843706131e-6, 3.403797745704651e-8, 0.00018644332885742188, 2.24187970161438e-5, 1.7136335372924805e-7
4.818856716156006e-5, 6.82331994175911e-6, 5.578622221946716e-8, 0.0002351999282836914, 3.1035393476486206e-5, 2.3096799850463867e-7
5.049306154251099e-5, 1.0449476540088654e-5, 1.1293962597846985e-7, 0.00022113323211669922, 5.128979682922363e-5, 4.544854164123535e-7
7.671558856964112e-5, 1.667611673474312e-5, 7.333606481552124e-8, 0.0003581047058105469, 6.650760769844055e-5, 2.868473529815674e-7
0.0007877243757247925, 8.13085287809372e-5, 2.647731453180313e-6, 0.0029445886611938477, 0.00031309574842453003, 9.782612323760986e-6
0.0005414278507232666, 4.9248233437538146e-5, 3.5780295729637145e-7, 0.0024423599243164062, 0.000215042382478714, 1.6167759895324707e-6
