type: T
mtx: 1000x1000
dev_fp32,  dev_posit,  dev_refin, max_fp32, max_posit, max_refin
0.001593197762966156, 7.448390871286392e-5, 6.977170705795288e-7, 0.0062978267669677734, 0.0002871081233024597, 2.7902424335479736e-6
5.046373605728149e-5, 6.287015974521637e-6, 3.2052397727966306e-8, 0.00023102760314941406, 2.571195363998413e-5, 1.4156103134155273e-7
0.00010510212182998657, 1.2077979743480682e-5, 8.367747068405151e-8, 0.0004916191101074219, 5.380809307098389e-5, 4.3213367462158203e-7
5.7975947856903073e-5, 2.191758528351784e-5, 1.467689871788025e-7, 0.0002646446228027344, 9.115412831306458e-5, 6.07222318649292e-7
7.024729251861573e-5, 7.761567831039429e-6, 5.5342912673950195e-8, 0.00032711029052734375, 3.3214688301086426e-5, 2.682209014892578e-7
5.874234437942505e-5, 1.0226994752883911e-5, 1.0260939598083496e-7, 0.0003167390823364258, 4.031136631965637e-5, 4.4330954551696777e-7
5.2821457386016846e-5, 6.8669579923152925e-6, 8.987635374069214e-8, 0.00025260448455810547, 2.8595328330993652e-5, 3.8743019104003906e-7
0.00020005106925964357, 7.374558597803116e-6, 9.592995047569275e-8, 0.0011621713638305664, 3.388524055480957e-5, 3.650784492492676e-7
0.0005608159303665161, 3.4941785037517546e-5, 5.103349685668945e-7, 0.0022521018981933594, 0.0001357048749923706, 2.1010637283325195e-6
0.00025831562280654907, 9.090971201658249e-6, 2.3579224944114686e-7, 0.0011194944381713867, 3.814697265625e-5, 9.834766387939453e-7
5.830144882202148e-5, 1.108676940202713e-5, 4.5023858547210694e-8, 0.000254213809967041, 5.2031129598617554e-5, 1.7881393432617188e-7
