type: T
mtx: 1000x1000
dev_fp32,  dev_posit,  dev_refin, max_fp32, max_posit, max_refin
0.00044745904207229615, 1.2312490493059158e-5, 3.295019268989563e-7, 0.0020017623901367188, 5.7481229305267334e-5, 1.475214958190918e-6
0.00011159628629684449, 1.839567720890045e-5, 1.5817210078239442e-7, 0.0005637407302856445, 7.968023419380188e-5, 6.51925802230835e-7
0.0001441769003868103, 1.4569338411092759e-5, 1.024976372718811e-7, 0.0006157159805297852, 5.701184272766113e-5, 4.842877388000488e-7
0.00010987669229507446, 9.781785309314727e-6, 8.57524573802948e-8, 0.0005474090576171875, 3.372505307197571e-5, 3.91155481338501e-7
8.73643159866333e-5, 1.6293480992317198e-5, 2.707056701183319e-7, 0.0003504753112792969, 6.541609764099121e-5, 1.3113021850585938e-6
0.00034915179014205933, 2.0087264478206635e-5, 5.985051393508911e-8, 0.0016149282455444336, 8.131563663482666e-5, 3.129243850708008e-7
0.0015954155921936036, 1.40940360724926e-5, 4.2770057916641236e-7, 0.00576329231262207, 5.014985799789429e-5, 1.6354024410247803e-6
0.00010538327693939209, 9.696237742900848e-6, 1.8424913287162782e-7, 0.0004773139953613281, 4.6372413635253906e-5, 8.121132850646973e-7
0.00012866997718811036, 9.46490839123726e-6, 4.040077328681946e-8, 0.0005660057067871094, 4.171207547187805e-5, 1.7508864402770996e-7
9.931308031082153e-5, 7.17100128531456e-6, 8.872151374816894e-8, 0.0004265308380126953, 3.168731927871704e-5, 4.544854164123535e-7
7.309520244598389e-5, 2.3939270526170732e-5, 2.9909610748291014e-7, 0.0002969503402709961, 0.0001072809100151062, 1.5385448932647705e-6
