type: T
mtx: 1000x1000
dev_fp32,  dev_posit,  dev_refin, max_fp32, max_posit, max_refin
4.7475814819335934e-5, 2.6012156158685684e-5, 2.33527272939682e-7, 0.00021016597747802734, 0.00012213364243507385, 9.834766387939453e-7
4.447865486145019e-5, 1.1580228805541992e-5, 3.391876816749573e-8, 0.00018030405044555664, 4.3839216232299805e-5, 1.4901161193847656e-7
0.00011478209495544433, 1.756688579916954e-5, 3.8575753569602967e-7, 0.0005533695220947266, 7.973611354827881e-5, 1.646578311920166e-6
3.371495008468628e-5, 5.9588290750980374e-6, 5.8088451623916626e-8, 0.00015205144882202148, 2.8878450393676758e-5, 2.4586915969848633e-7
0.00016578900814056397, 8.56316089630127e-6, 3.647804260253906e-8, 0.0006490945816040039, 3.3132731914520264e-5, 1.4528632164001465e-7
0.00019468700885772705, 7.228738814592361e-5, 3.7393718957901e-7, 0.0007777214050292969, 0.0002890452742576599, 1.5422701835632324e-6
0.00023697376251220704, 4.875430837273598e-5, 4.813671112060547e-7, 0.0011224746704101562, 0.000262577086687088, 2.51084566116333e-6
0.0011647711992263793, 7.055532932281494e-5, 1.6717016696929933e-6, 0.00461733341217041, 0.0002825111150741577, 6.668269634246826e-6
0.00010636138916015626, 1.3746980577707291e-5, 1.8741562962532043e-7, 0.0005009174346923828, 6.263703107833862e-5, 8.270144462585449e-7
0.0001448427438735962, 2.9239539057016373e-5, 1.2749060988426208e-7, 0.0006368160247802734, 0.00013430416584014893, 6.109476089477539e-7
0.0007589636445045471, 0.00011913286149501801, 3.540068864822388e-7, 0.0032438039779663086, 0.0005181506276130676, 1.4938414096832275e-6
