type: T
mtx: 1000x1000
dev_fp32,  dev_posit,  dev_refin, max_fp32, max_posit, max_refin
0.00023521798849105834, 5.178722366690636e-5, 2.8736889362335207e-8, 0.0010333061218261719, 0.00023827701807022095, 1.1175870895385742e-7
4.628968238830566e-5, 1.1030100286006927e-5, 5.300715565681457e-8, 0.00021022558212280273, 4.441291093826294e-5, 2.4586915969848633e-7
9.696555137634277e-5, 5.8866068720817565e-6, 3.705918788909912e-8, 0.0003851652145385742, 3.041699528694153e-5, 1.4901161193847656e-7
0.0003688226938247681, 2.8981640934944152e-5, 2.633370459079742e-7, 0.0016480684280395508, 0.00010909512639045715, 1.0207295417785645e-6
0.00011589711904525757, 1.4757074415683747e-5, 6.252527236938476e-8, 0.0005292892456054688, 6.382167339324951e-5, 2.4586915969848633e-7
8.66522192955017e-5, 2.210533246397972e-5, 6.009861826896667e-7, 0.0003673434257507324, 9.9916011095047e-5, 2.6226043701171875e-6
5.468958616256714e-5, 9.471789002418518e-6, 4.484876990318298e-8, 0.00024712085723876953, 3.72081995010376e-5, 2.086162567138672e-7
0.00041994726657867433, 4.0654104202985766e-5, 6.026402115821838e-8, 0.002086639404296875, 0.00019500777125358582, 2.980232238769531e-7
0.00014711272716522216, 1.7510350793600084e-5, 1.1008232831954956e-7, 0.0006566047668457031, 7.288157939910889e-5, 5.066394805908203e-7
7.245856523513794e-5, 6.3147321343421934e-6, 3.126636147499085e-8, 0.0002770423889160156, 2.8114765882492065e-5, 1.1548399925231934e-7
0.0007233954668045044, 0.00010463008657097816, 1.313585788011551e-6, 0.003909647464752197, 0.0005794316530227661, 7.0855021476745605e-6
