type: T
mtx: 1000x1000
dev_fp32,  dev_posit,  dev_refin, max_fp32, max_posit, max_refin
0.00019561845064163208, 5.006101354956627e-5, 4.7224387526512144e-7, 0.001081705093383789, 0.00027253851294517517, 2.5704503059387207e-6
6.313127279281616e-5, 4.259862005710602e-6, 3.8508325815200805e-8, 0.00026851892471313477, 2.0131468772888184e-5, 1.7508864402770996e-7
0.0006693975925445557, 5.841567739844322e-5, 3.0238181352615357e-7, 0.0032341480255126953, 0.0002688691020011902, 1.3634562492370605e-6
0.0002636327147483826, 4.6573981642723084e-5, 5.9138983488082886e-8, 0.0012503862380981445, 0.0002335086464881897, 2.5331974029541016e-7
4.348313808441162e-5, 8.592154830694198e-6, 1.0787323117256165e-7, 0.0001690387725830078, 4.269927740097046e-5, 4.3213367462158203e-7
0.00015653252601623534, 1.4729928225278854e-5, 5.678832530975342e-8, 0.0005944967269897461, 6.654858589172363e-5, 2.7567148208618164e-7
0.000695009171962738, 2.8354331851005554e-5, 1.829974353313446e-7, 0.0027762651443481445, 0.00011336803436279297, 7.674098014831543e-7
0.0014461524486541748, 6.582826375961304e-6, 2.474375069141388e-7, 0.0051313042640686035, 2.995133399963379e-5, 8.977949619293213e-7
0.000103915274143219, 7.309809327125549e-6, 8.444115519523621e-8, 0.0003713369369506836, 2.905726432800293e-5, 3.501772880554199e-7
8.042728900909424e-5, 3.840204328298569e-6, 5.563348531723022e-8, 0.00035393238067626953, 2.0742416381835938e-5, 2.5331974029541016e-7
3.891557455062866e-5, 6.486773490905762e-6, 8.24853777885437e-8, 0.0001525282859802246, 3.3311545848846436e-5, 3.46451997756958e-7
