type: T
mtx: 1000x1000
dev_fp32,  dev_posit,  dev_refin, max_fp32, max_posit, max_refin
0.0001515693664550781, 9.674269706010818e-6, 8.1527978181839e-8, 0.000728309154510498, 5.014240741729736e-5, 3.390014171600342e-7
6.94395899772644e-5, 1.6202308237552644e-5, 6.905198097229004e-8, 0.00030612945556640625, 6.185472011566162e-5, 2.942979335784912e-7
8.710819482803345e-5, 1.5927430242300034e-5, 7.506087422370911e-8, 0.0003883838653564453, 8.69855284690857e-5, 4.023313522338867e-7
8.399492502212525e-5, 1.2161999940872192e-5, 1.1554360389709472e-7, 0.0003420710563659668, 5.78463077545166e-5, 5.587935447692871e-7
5.41878342628479e-5, 1.8570393323898316e-5, 9.603425860404968e-8, 0.00023126602172851562, 7.881969213485718e-5, 4.284083843231201e-7
0.00017201387882232667, 6.5428949892520906e-6, 1.614317297935486e-7, 0.0006846785545349121, 2.5141984224319458e-5, 6.183981895446777e-7
0.00023700028657913208, 3.029116988182068e-5, 1.490563154220581e-7, 0.001046299934387207, 0.00013410300016403198, 6.258487701416016e-7
7.58204460144043e-5, 1.2948621064424515e-5, 6.636232137680054e-8, 0.0003274679183959961, 5.429983139038086e-5, 3.3155083656311035e-7
0.00015464133024215698, 5.1576904952526095e-6, 1.3051554560661315e-7, 0.0006288290023803711, 2.584606409072876e-5, 5.401670932769775e-7
9.292656183242798e-5, 1.4500416815280914e-5, 6.47716224193573e-8, 0.00038319826126098633, 5.739182233810425e-5, 2.980232238769531e-7
0.00019386714696884155, 1.1201690882444382e-5, 5.2228569984436034e-8, 0.0008895397186279297, 4.604458808898926e-5, 2.4959444999694824e-7
