type: T
mtx: 1000x1000
dev_fp32,  dev_posit,  dev_refin, max_fp32, max_posit, max_refin
0.00018668514490127562, 3.0353009700775145e-5, 2.3650750517845155e-7, 0.0007880330085754395, 0.0001325160264968872, 9.797513484954834e-7
8.94073247909546e-5, 3.684204816818237e-5, 8.647143840789795e-8, 0.0003859996795654297, 0.0001467280089855194, 3.501772880554199e-7
0.0001302230954170227, 5.723853409290314e-5, 4.951879382133483e-7, 0.0006623268127441406, 0.00027603283524513245, 2.4810433387756348e-6
0.00037393879890441895, 2.5104179978370666e-5, 5.721673369407654e-8, 0.0014186501502990723, 0.00010359659790992737, 2.2724270820617676e-7
0.0003708796501159668, 4.905831068754196e-6, 6.318464875221252e-8, 0.0015221834182739258, 2.356618642807007e-5, 2.8312206268310547e-7
9.041714668273926e-5, 6.640858948230744e-6, 1.430995762348175e-7, 0.0004826188087463379, 2.8692185878753662e-5, 5.587935447692871e-7
4.690355062484741e-5, 3.274095430970192e-5, 6.260350346565246e-8, 0.0002136826515197754, 0.00013141334056854248, 2.5331974029541016e-7
8.722692728042602e-5, 8.260723203420639e-6, 7.858127355575562e-8, 0.00035059452056884766, 4.003942012786865e-5, 3.948807716369629e-7
8.763051033020019e-5, 4.462014883756637e-6, 5.730241537094116e-8, 0.00038051605224609375, 2.0131468772888184e-5, 2.682209014892578e-7
0.0001409496068954468, 1.8194306641817094e-5, 8.232146501541137e-8, 0.0005792975425720215, 9.177625179290771e-5, 3.5762786865234375e-7
0.00015444570779800414, 1.5157677233219147e-5, 7.768720388412475e-8, 0.0005785226821899414, 7.015466690063477e-5, 2.980232238769531e-7
