type: T
mtx: 1000x1000
dev_fp32,  dev_posit,  dev_refin, max_fp32, max_posit, max_refin
0.00013105881214141847, 8.000019937753677e-6, 2.395622432231903e-7, 0.0005568265914916992, 3.50363552570343e-5, 9.834766387939453e-7
8.562660217285156e-5, 8.83832573890686e-6, 4.064291715621948e-8, 0.00034868717193603516, 3.848224878311157e-5, 1.564621925354004e-7
8.552777767181396e-5, 1.1909391731023788e-5, 4.095584154129028e-8, 0.000401914119720459, 4.616007208824158e-5, 1.4901161193847656e-7
0.00035984206199645997, 1.0475989431142807e-5, 2.555325627326965e-7, 0.0013886690139770508, 4.201382398605347e-5, 9.872019290924072e-7
8.39046835899353e-5, 8.884046226739884e-6, 1.3788416981697082e-7, 0.00036537647247314453, 3.4403055906295776e-5, 5.699694156646729e-7
0.00017392951250076293, 1.235945150256157e-5, 2.83949077129364e-7, 0.0008733868598937988, 4.92781400680542e-5, 1.4379620552062988e-6
8.801966905593872e-5, 5.699973180890083e-5, 1.969374716281891e-7, 0.0003542900085449219, 0.0002432018518447876, 8.866190910339355e-7
0.00024692922830581664, 2.174025774002075e-5, 1.810304820537567e-7, 0.001024007797241211, 8.48621129989624e-5, 7.450580596923828e-7
0.0002800592184066772, 5.14453686773777e-5, 3.5802647471427917e-7, 0.0011978745460510254, 0.0002469085156917572, 1.6987323760986328e-6
0.0004797430634498596, 0.00016501554474234581, 1.6210190951824189e-6, 0.0017279386520385742, 0.0006030872464179993, 6.012618541717529e-6
9.86555814743042e-5, 1.1329099535942078e-5, 2.2298842668533324e-7, 0.0004914999008178711, 4.634633660316467e-5, 9.052455425262451e-7
