type: T
mtx: 1000x1000
dev_fp32,  dev_posit,  dev_refin, max_fp32, max_posit, max_refin
8.551371097564697e-5, 6.765297055244445e-5, 2.4020299315452575e-7, 0.000354766845703125, 0.0002520829439163208, 9.313225746154785e-7
0.0002031790018081665, 5.355413630604744e-5, 4.799999296665191e-7, 0.0007233619689941406, 0.00024862587451934814, 2.3171305656433105e-6
0.00039156579971313477, 3.1584102660417556e-5, 9.405985474586486e-8, 0.0021119117736816406, 0.00018147006630897522, 4.76837158203125e-7
6.118488311767578e-5, 2.4184465408325195e-5, 4.038214683532715e-8, 0.00031757354736328125, 0.00011538341641426086, 1.7136335372924805e-7
3.556501865386963e-5, 2.3517981171607973e-5, 9.604915976524353e-8, 0.00014650821685791016, 9.469687938690186e-5, 4.470348358154297e-7
0.00021449792385101318, 9.50787588953972e-6, 1.6858801245689393e-7, 0.001020193099975586, 4.270672798156738e-5, 8.195638656616211e-7
9.225922822952271e-5, 8.493416011333466e-6, 1.6146525740623475e-7, 0.0004150867462158203, 4.106014966964722e-5, 7.003545761108398e-7
7.254743576049805e-5, 2.2856883704662323e-5, 1.5253201127052307e-7, 0.00028014183044433594, 9.177625179290771e-5, 6.183981895446777e-7
6.459116935729981e-5, 1.570923626422882e-5, 7.240474224090576e-8, 0.00027805566787719727, 6.69136643409729e-5, 2.980232238769531e-7
0.00011427521705627442, 8.279304951429366e-6, 6.155669689178467e-8, 0.000499725341796875, 3.341585397720337e-5, 2.384185791015625e-7
9.746038913726807e-5, 2.643289044499397e-5, 3.619641065597534e-7, 0.0003858804702758789, 0.00010266155004501343, 1.4603137969970703e-6
