type: T
mtx: 1000x1000
dev_fp32,  dev_posit,  dev_refin, max_fp32, max_posit, max_refin
0.0009656071662902832, 0.00031363072618842126, 1.683168113231659e-6, 0.00417172908782959, 0.0013580769300460815, 7.3015689849853516e-6
4.532235860824585e-5, 1.052001491189003e-5, 5.436316132545471e-8, 0.00020265579223632812, 4.84958291053772e-5, 2.2351741790771484e-7
5.7769477367401124e-5, 6.452925503253937e-6, 3.814697265625e-8, 0.00022935867309570312, 3.0335038900375366e-5, 1.4901161193847656e-7
5.63812255859375e-5, 9.399045258760452e-6, 4.720687866210938e-8, 0.00036710500717163086, 4.883855581283569e-5, 2.123415470123291e-7
8.389091491699218e-5, 4.768054932355881e-6, 4.0885061025619506e-8, 0.00039315223693847656, 2.3059546947479248e-5, 1.6763806343078613e-7
6.979238986968994e-5, 2.266155928373337e-5, 9.763240814208984e-8, 0.0002727508544921875, 9.717047214508057e-5, 4.284083843231201e-7
4.075467586517334e-5, 7.2247236967086795e-6, 6.883218884468079e-8, 0.00016772747039794922, 2.787262201309204e-5, 3.0919909477233887e-7
5.140995979309082e-5, 2.7886331081390382e-5, 4.997849464416504e-8, 0.0002257823944091797, 0.000131119042634964, 2.2351741790771484e-7
0.0003390355110168457, 3.894660994410515e-5, 2.4317950010299685e-7, 0.0012801885604858398, 0.00017380714416503906, 9.98377799987793e-7
0.00013077592849731446, 8.212283253669738e-6, 1.2122094631195068e-7, 0.0005331039428710938, 3.109872341156006e-5, 5.662441253662109e-7
0.00012911510467529297, 1.5661172568798066e-5, 5.728006362915039e-8, 0.0005525350570678711, 6.809458136558533e-5, 2.1606683731079102e-7
